,Parameter,General source,Source,Commodity,Value,"Commodity, source"
127,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 15,Al,0.4975004610651051,"Al, this study"
128,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 16,Al,0.0042505040264338,"Al, this study"
129,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 17,Al,0.3393536710471988,"Al, this study"
130,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 18,Al,0.2159879931369262,"Al, this study"
131,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 19,Al,0.9777904809182753,"Al, this study"
132,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 20,Al,0.1380515037953447,"Al, this study"
133,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 21,Al,0.4765366744799139,"Al, this study"
134,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 22,Al,0.0640765924809872,"Al, this study"
135,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 23,Al,0.4428225672039849,"Al, this study"
136,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 24,Al,0.5530802197598952,"Al, this study"
137,"Direct melt fraction
elasticity to scrap spread ( )",This study,This study 25,Al,0.2994891838587027,"Al, this study"
138,"Intensity elasticity to
GDP (*)",This study,This study 0,Al,-0.0893111133557083,"Al, this study"
139,"Intensity elasticity to
GDP (*)",This study,This study 1,Al,0.8696207531645499,"Al, this study"
140,"Intensity elasticity to
GDP (*)",This study,This study 2,Al,-0.4942289923817727,"Al, this study"
141,"Intensity elasticity to
GDP (*)",This study,This study 3,Al,0.5410399265990926,"Al, this study"
142,"Intensity elasticity to
GDP (*)",This study,This study 4,Al,0.4538339236008337,"Al, this study"
143,"Intensity elasticity to
GDP (*)",This study,This study 5,Al,0.5756330260557241,"Al, this study"
144,"Intensity elasticity to
GDP (*)",This study,This study 6,Al,0.3870243639015349,"Al, this study"
145,"Intensity elasticity to
GDP (*)",This study,This study 7,Al,0.9358831976345504,"Al, this study"
146,"Intensity elasticity to
GDP (*)",This study,This study 8,Al,0.0443356801426375,"Al, this study"
147,"Intensity elasticity to
GDP (*)",This study,This study 9,Al,0.6923686290458002,"Al, this study"
148,"Intensity elasticity to
GDP (*)",This study,This study 10,Al,0.6020773646364947,"Al, this study"
149,"Intensity elasticity to
GDP (*)",This study,This study 11,Al,0.5710250295915522,"Al, this study"
150,"Intensity elasticity to
GDP (*)",This study,This study 12,Al,0.8436590794378733,"Al, this study"
151,"Intensity elasticity to
GDP (*)",This study,This study 13,Al,0.967315933887958,"Al, this study"
152,"Intensity elasticity to
GDP (*)",This study,This study 14,Al,0.745231047908355,"Al, this study"
153,"Intensity elasticity to
GDP (*)",This study,This study 15,Al,0.873015142123361,"Al, this study"
154,"Intensity elasticity to
GDP (*)",This study,This study 16,Al,0.3478744474556841,"Al, this study"
155,"Intensity elasticity to
GDP (*)",This study,This study 17,Al,0.056256936256278,"Al, this study"
156,"Intensity elasticity to
GDP (*)",This study,This study 18,Al,0.6625554969657497,"Al, this study"
157,"Intensity elasticity to
GDP (*)",This study,This study 19,Al,0.2007395442833552,"Al, this study"
158,"Intensity elasticity to
GDP (*)",This study,This study 20,Al,0.1525027720063547,"Al, this study"
159,"Intensity elasticity to
GDP (*)",This study,This study 21,Al,-0.2213374345642283,"Al, this study"
160,"Intensity elasticity to
GDP (*)",This study,This study 22,Al,0.7680494325474372,"Al, this study"
161,"Intensity elasticity to
GDP (*)",This study,This study 23,Al,0.4446448472857499,"Al, this study"
162,"Intensity elasticity to
GDP (*)",This study,This study 24,Al,-0.4942481962206442,"Al, this study"
163,"Intensity elasticity to
GDP (*)",This study,This study 25,Al,-0.1531788935723964,"Al, this study"
164,"Intensity elasticity to
price (***)",This study,This study 0,Al,-0.5451585299150364,"Al, this study"
165,"Intensity elasticity to
price (***)",This study,This study 1,Al,-0.0085041609910091,"Al, this study"
166,"Intensity elasticity to
price (***)",This study,This study 2,Al,-0.5743333727727723,"Al, this study"
167,"Intensity elasticity to
price (***)",This study,This study 3,Al,-0.3324552229550222,"Al, this study"
168,"Intensity elasticity to
price (***)",This study,This study 4,Al,-0.3264323776135375,"Al, this study"
169,"Intensity elasticity to
price (***)",This study,This study 5,Al,-0.2998382376543448,"Al, this study"
170,"Intensity elasticity to
price (***)",This study,This study 6,Al,-0.5126271588710103,"Al, this study"
171,"Intensity elasticity to
price (***)",This study,This study 7,Al,-0.4185058788176542,"Al, this study"
172,"Intensity elasticity to
price (***)",This study,This study 8,Al,-0.516395986833184,"Al, this study"
173,"Intensity elasticity to
price (***)",This study,This study 9,Al,-0.4837296969532829,"Al, this study"
174,"Intensity elasticity to
price (***)",This study,This study 10,Al,-0.2699733574423705,"Al, this study"
175,"Intensity elasticity to
price (***)",This study,This study 11,Al,-0.3001770467804595,"Al, this study"
176,"Intensity elasticity to
price (***)",This study,This study 12,Al,-0.2470072070560804,"Al, this study"
177,"Intensity elasticity to
price (***)",This study,This study 13,Al,-0.4170226539915065,"Al, this study"
178,"Intensity elasticity to
price (***)",This study,This study 14,Al,-0.1160657543764766,"Al, this study"
179,"Intensity elasticity to
price (***)",This study,This study 15,Al,-0.3139871110370946,"Al, this study"
180,"Intensity elasticity to
price (***)",This study,This study 16,Al,-0.5800460881653288,"Al, this study"
181,"Intensity elasticity to
price (***)",This study,This study 17,Al,-0.3872125946485522,"Al, this study"
182,"Intensity elasticity to
price (***)",This study,This study 18,Al,-0.4058437107423713,"Al, this study"
183,"Intensity elasticity to
price (***)",This study,This study 19,Al,-0.2482041334481586,"Al, this study"
184,"Intensity elasticity to
price (***)",This study,This study 20,Al,-0.2911986250229552,"Al, this study"
185,"Intensity elasticity to
price (***)",This study,This study 21,Al,-0.4869234281890418,"Al, this study"
186,"Intensity elasticity to
price (***)",This study,This study 22,Al,-0.2671777241354044,"Al, this study"
187,"Intensity elasticity to
price (***)",This study,This study 23,Al,-0.4213748103591616,"Al, this study"
188,"Intensity elasticity to
price (***)",This study,This study 24,Al,-0.531933024244468,"Al, this study"
189,"Intensity elasticity to
price (***)",This study,This study 25,Al,-0.2371092779534639,"Al, this study"
190,"10 x Intensity
elasticity to time ( )",This study,This study 0,Al,0.206383716242271,"Al, this study"
191,"10 x Intensity
elasticity to time ( )",This study,This study 1,Al,-0.31263311052420595,"Al, this study"
192,"10 x Intensity
elasticity to time ( )",This study,This study 2,Al,0.5795442465701299,"Al, this study"
193,"10 x Intensity
elasticity to time ( )",This study,This study 3,Al,0.15020409934826198,"Al, this study"
194,"10 x Intensity
elasticity to time ( )",This study,This study 4,Al,0.168902578972053,"Al, this study"
195,"10 x Intensity
elasticity to time ( )",This study,This study 5,Al,-0.066449264400622,"Al, this study"
196,"10 x Intensity
elasticity to time ( )",This study,This study 6,Al,0.16007892172734,"Al, this study"
197,"10 x Intensity
elasticity to time ( )",This study,This study 7,Al,-0.052167907648153,"Al, this study"
198,"10 x Intensity
elasticity to time ( )",This study,This study 8,Al,0.5817691506813,"Al, this study"
199,"10 x Intensity
elasticity to time ( )",This study,This study 9,Al,-0.08019656035108,"Al, this study"
200,"10 x Intensity
elasticity to time ( )",This study,This study 10,Al,-0.038839472496611,"Al, this study"
201,"10 x Intensity
elasticity to time ( )",This study,This study 11,Al,0.13083606545419502,"Al, this study"
202,"10 x Intensity
elasticity to time ( )",This study,This study 12,Al,-0.170479015036645,"Al, this study"
203,"10 x Intensity
elasticity to time ( )",This study,This study 13,Al,0.17724673299544103,"Al, this study"
204,"10 x Intensity
elasticity to time ( )",This study,This study 14,Al,-0.228213933799398,"Al, this study"
205,"10 x Intensity
elasticity to time ( )",This study,This study 15,Al,-0.22479239016708602,"Al, this study"
206,"10 x Intensity
elasticity to time ( )",This study,This study 16,Al,0.286566543422771,"Al, this study"
207,"10 x Intensity
elasticity to time ( )",This study,This study 17,Al,0.386961489516183,"Al, this study"
208,"10 x Intensity
elasticity to time ( )",This study,This study 18,Al,0.150168897902123,"Al, this study"
209,"10 x Intensity
elasticity to time ( )",This study,This study 19,Al,0.378387983478134,"Al, this study"
210,"10 x Intensity
elasticity to time ( )",This study,This study 20,Al,0.196411010318565,"Al, this study"
211,"10 x Intensity
elasticity to time ( )",This study,This study 21,Al,0.59154109085703,"Al, this study"
212,"10 x Intensity
elasticity to time ( )",This study,This study 22,Al,0.11701712030926299,"Al, this study"
213,"10 x Intensity
elasticity to time ( )",This study,This study 23,Al,-0.09660606009462899,"Al, this study"
214,"10 x Intensity
elasticity to time ( )",This study,This study 24,Al,0.308638253050393,"Al, this study"
215,"10 x Intensity
elasticity to time ( )",This study,This study 25,Al,0.15558458359322,"Al, this study"
216,"Mine CU elasticity
to TCM (**)",This study,This study 0,Al,0.0583687559144411,"Al, this study"
217,"Mine CU elasticity
to TCM (**)",This study,This study 1,Al,0.5809024954367189,"Al, this study"
218,"Mine CU elasticity
to TCM (**)",This study,This study 2,Al,0.5502357181716864,"Al, this study"
219,"Mine CU elasticity
to TCM (**)",This study,This study 3,Al,0.7985042785160711,"Al, this study"
220,"Mine CU elasticity
to TCM (**)",This study,This study 4,Al,0.3392533601784248,"Al, this study"
221,"Mine CU elasticity
to TCM (**)",This study,This study 5,Al,0.2590921910119531,"Al, this study"
222,"Mine CU elasticity
to TCM (**)",This study,This study 6,Al,0.8312369851426498,"Al, this study"
223,"Mine CU elasticity
to TCM (**)",This study,This study 7,Al,0.8794343028124504,"Al, this study"
224,"Mine CU elasticity
to TCM (**)",This study,This study 8,Al,0.4523323690546492,"Al, this study"
225,"Mine CU elasticity
to TCM (**)",This study,This study 9,Al,0.276873772051536,"Al, this study"
226,"Mine CU elasticity
to TCM (**)",This study,This study 10,Al,0.8377744483229927,"Al, this study"
227,"Mine CU elasticity
to TCM (**)",This study,This study 11,Al,0.4248419436394435,"Al, this study"
228,"Mine CU elasticity
to TCM (**)",This study,This study 12,Al,0.7677856202464741,"Al, this study"
229,"Mine CU elasticity
to TCM (**)",This study,This study 13,Al,0.8437947746868308,"Al, this study"
230,"Mine CU elasticity
to TCM (**)",This study,This study 14,Al,0.4840329233594632,"Al, this study"
231,"Mine CU elasticity
to TCM (**)",This study,This study 15,Al,0.6277876984849649,"Al, this study"
232,"Mine CU elasticity
to TCM (**)",This study,This study 16,Al,0.723898785203307,"Al, this study"
233,"Mine CU elasticity
to TCM (**)",This study,This study 17,Al,0.4989561047898523,"Al, this study"
234,"Mine CU elasticity
to TCM (**)",This study,This study 18,Al,0.5623670837738884,"Al, this study"
235,"Mine CU elasticity
to TCM (**)",This study,This study 19,Al,0.9267259144330504,"Al, this study"
236,"Mine CU elasticity
to TCM (**)",This study,This study 20,Al,0.7488584666055882,"Al, this study"
237,"Mine CU elasticity
to TCM (**)",This study,This study 21,Al,0.6051557434535805,"Al, this study"
238,"Mine CU elasticity
to TCM (**)",This study,This study 22,Al,0.509564234456609,"Al, this study"
239,"Mine CU elasticity
to TCM (**)",This study,This study 23,Al,0.3085666639191106,"Al, this study"
240,"Mine CU elasticity
to TCM (**)",This study,This study 24,Al,0.3523087499358938,"Al, this study"
241,"Mine CU elasticity
to TCM (**)",This study,This study 25,Al,0.7474206306129849,"Al, this study"
242,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 0,Al,-0.3975258253292289,"Al, this study"
243,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 1,Al,-0.19453980778844196,"Al, this study"
244,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 2,Al,-0.15546447114803988,"Al, this study"
245,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 3,Al,0.3316301428261156,"Al, this study"
246,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 4,Al,0.48416392440807615,"Al, this study"
247,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 5,Al,0.00782956153500258,"Al, this study"
248,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 6,Al,-0.18078518488085998,"Al, this study"
249,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 7,Al,0.2278953940453663,"Al, this study"
250,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 8,Al,0.05997361929756364,"Al, this study"
251,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 9,Al,-0.279517745482181,"Al, this study"
252,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 10,Al,0.2745628068950856,"Al, this study"
253,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 11,Al,0.49080237376548086,"Al, this study"
254,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 12,Al,-0.42951719950810496,"Al, this study"
255,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 13,Al,0.47653517639022025,"Al, this study"
256,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 14,Al,-0.3524146801793022,"Al, this study"
257,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 15,Al,-0.12287070681828816,"Al, this study"
258,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 16,Al,-0.21830840375298904,"Al, this study"
259,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 17,Al,-0.01463320076099385,"Al, this study"
260,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 18,Al,0.05949456475329491,"Al, this study"
261,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 19,Al,0.4723366656580506,"Al, this study"
262,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 20,Al,0.2703669539067524,"Al, this study"
263,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 21,Al,-0.35719770216632424,"Al, this study"
264,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 22,Al,0.24594981103698962,"Al, this study"
265,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 23,Al,-0.3794895623508182,"Al, this study"
266,"$\frac{1}{10} x$ Mine cost
change per year ( )",This study,This study 24,Al,-0.09859359153531796,"Al, this study"
